450,0
500,135
505,258
510,494
515,771
520,949
525,964
530,826
535,596
540,419
545,354
550,404
555,586
560,877
565,1193
570,1490
575,1621
580,1530
585,1345
590,1233
595,1276
600,1608
605,2087
610,2596
615,3052
620,3315
625,3321
630,3297
635,3429
640,3847
645,4502
650,5223
655,5983
660,6643
665,7005
670,6925
675,6305
680,5445
685,4748
690,3906
695,3447
700,3026
705,2765
710,2637
715,2494
720,2436
725,2431
730,2523
735,2709
740,2940
745,3264
750,3655
755,3935
760,4094
765,4083
770,3928
775,3612
780,2892
785,2591
790,2122
795,1643
800,1233
805,995
810,682
815,564
820,266
825,202
830,109
835,223
840,-117
845,-110
850,-67
